,0
0,25.430370330810547
1,47.944415807724
2,41.225998401641846
3,24.951775789260864
4,65.07716917991638
5,112.7793025970459
6,30.01536774635315
7,73.64574265480042
8,123.80623054504395
9,37.217297315597534
10,133.96755480766296
11,21.74426579475403
12,32.23882985115051
13,120.17827653884888
14,127.94184756278992
15,96.67324447631836
16,11.5228910446167
17,38.339526414871216
18,18.2735595703125
19,27.9700665473938
20,61.379939556121826
21,62.95748734474182
22,43.917608976364136
23,46.3956515789032
24,30.619990348815918
25,69.03463745117188
26,87.34516501426697
27,110.59403872489929
28,17.703327655792236
29,30.6204731464386
30,20.913087129592896
31,32.09466195106506
32,38.59918785095215
33,28.627320528030396
34,148.81564259529114
35,41.91309428215027
36,37.22045969963074
37,76.97860145568848
38,31.146610498428345
39,83.59759974479675
40,45.960973501205444
41,20.44230318069458
42,51.41592526435852
43,105.05742025375366
44,41.24924159049988
45,40.17989110946655
46,7.807254314422607
47,25.092210054397583
48,55.30696988105774
