,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,191.62978573,182.83185307,250.0,25.0,63.75,300.0,63.75,365.82707069,206.32854928,40.0,150.0,75.0,63.75,95.0,45.132741229,80.0,80.0,230.0,400.0
1,147.99655443,434.15926536,250.0,25.0,63.75,300.0,63.75,142.29067034,201.22681762,40.0,150.0,75.0,63.75,95.0,66.076692253,80.0,80.0,230.0,400.0
2,239.62634016,182.83185307,220.89778253,25.0,63.75,183.11722549,63.75,323.53640035,200.0,40.0,150.0,75.0,63.75,95.0,191.7403984,80.0,80.0,230.0,400.0
3,130.54326191,371.32741229,107.64145256,25.0,50.0,150.0,50.0,426.24231403,200.0,15.0,150.0,75.0,63.75,95.0,208.49555922,80.0,80.0,230.0,400.0
4,187.2664626,122.79761395,250.0,25.0,63.75,300.0,63.75,377.91011936,200.0,40.0,150.0,75.0,63.75,95.0,103.7758041,80.0,80.0,230.0,400.0
5,291.98621772,308.49555922,250.0,25.0,63.75,220.63288301,63.75,208.74743801,200.0,40.0,150.0,75.0,63.75,95.0,61.887902048,80.0,80.0,230.0,400.0
6,296.34954085,308.49555922,107.05072574,25.0,50.0,150.0,50.0,420.20078969,200.0,15.0,150.0,75.0,63.75,95.0,112.15338451,80.0,80.0,230.0,400.0
7,222.17304764,434.15926536,112.83716349,25.0,50.0,150.0,50.0,438.32536269,200.0,15.0,150.0,75.0,63.75,95.0,36.755160819,80.0,80.0,230.0,400.0
8,130.54326191,434.15926536,250.0,25.0,63.75,295.40010304,63.75,136.249146,200.0,40.0,150.0,75.0,63.75,95.0,95.398223686,80.0,80.0,230.0,400.0
9,130.54326191,371.32741229,250.0,25.0,63.75,290.40577626,63.75,220.83048668,200.0,40.0,150.0,75.0,63.75,95.0,78.643062867,80.0,80.0,230.0,400.0
10,178.53981634,371.32741229,250.0,25.0,63.75,300.0,63.75,196.66438934,216.84080162,40.0,150.0,75.0,63.75,95.0,28.37758041,80.0,80.0,230.0,400.0
11,239.62634016,371.32741229,182.23202679,25.0,63.75,156.53451842,63.75,263.12115701,200.0,40.0,150.0,75.0,63.75,95.0,128.90854532,80.0,80.0,230.0,400.0
12,291.98621772,434.15926536,143.57327604,25.0,63.75,150.0,63.75,178.53981634,200.0,21.07255758,150.0,75.0,63.75,95.0,162.41886696,80.0,80.0,230.0,400.0
13,178.53981634,308.49555922,250.0,25.0,63.75,208.41557824,63.75,208.74743801,200.0,40.0,150.0,75.0,63.75,95.0,187.55160819,80.0,80.0,230.0,400.0
14,204.71975512,371.32741229,250.0,25.0,63.75,300.0,63.75,100.0,258.00372075,40.0,150.0,75.0,63.75,95.0,57.699111843,80.0,80.0,230.0,400.0
