,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,100.0,371.15335243942076,249.99833444671486,24.998334446714864,62.81089694696348,278.4222825573587,61.48844557057939,135.92480969059216,200.0,32.58505764992463,149.99833444671486,74.99833444671486,63.74833444671487,94.99833444671486,216.88082648743466,79.99833444671486,79.99833444671486,229.99833444671486,400.0
1,100.0,371.25532127515726,249.98838401785872,24.988384017858728,62.194246203448415,271.39776225023127,60.87804557948996,136.75925664748976,200.0,39.98838401785873,149.98838401785872,74.98838401785872,63.73838401785873,94.98838401785872,216.88226236563835,79.98838401785872,79.98838401785872,229.98838401785872,400.0
2,100.0,371.15479132207275,249.99691675315728,24.996916753157283,63.32421455190486,271.15177605721556,60.61429543884865,136.21224381217257,200.0,39.99691675315729,149.99691675315728,74.9969167531573,63.74691675315729,94.9969167531573,216.82370624561503,79.9969167531573,79.9969167531573,229.99691675315728,400.0
3,100.01977403162394,371.06591415375647,250.0,25.0,60.619214431183885,283.87785135597517,63.75,130.13443878565448,200.01977403162397,32.980155179236206,149.95245857015615,75.0,63.75,95.0,216.81014296087858,80.0,80.0,230.0,400.0197740316239
4,100.0113640820736,370.4720435358632,250.0,25.0,62.06891255712629,274.0068432431099,63.497374900304614,142.31883385440165,200.01136408207358,31.16693890651644,150.0,75.0,62.527795953669845,95.0,216.90646436098106,80.0,80.0,230.0,400.0113640820736
5,100.00266557212552,371.1605449755286,250.0,25.0,62.00999054858736,273.32398300881636,61.15130717903991,136.1888629425547,200.00266557212555,38.48233067411764,150.0,75.0,63.75,95.0,216.9243327505418,80.0,80.0,230.0,400.00266557212547
6,100.00098876748478,371.2187537487652,250.0,25.0,62.560565677656776,268.4776356660991,63.06697687669026,148.33308640026064,200.00098876748478,37.11837127001173,150.0,75.0,63.65635160418395,95.0,208.56441507267826,80.0,80.0,230.0,400.0009887674847
7,100.0,372.48978296950844,249.99956562804954,24.999565628049538,63.74956562804953,258.47560878606663,63.45597475522527,148.22886189862152,200.0,35.91266715304153,149.99956562804954,74.99956562804954,63.74956562804953,94.99956562804954,216.94162585465733,79.99956562804954,79.99956562804954,229.99956562804954,400.0
8,100.0,371.0928159110691,249.98373825790904,24.983738257909,62.39365825405567,262.8523439112157,63.733738257909,142.41800808451745,200.0,39.983738257909,149.98373825790904,74.98373825790898,63.733738257909,94.98373825790898,216.92221482046105,79.98373825790898,79.98373825790898,229.98373825790904,400.0
9,100.00717442114133,371.2256241350953,250.0,24.96071144437129,61.058096308464364,276.56035492978316,60.0767500424038,136.78109052516683,200.00717442114134,36.667731676239285,150.0,75.0,63.75,95.0,216.89767546912017,80.0,80.0,230.0,400.0071744211413
