,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,28846.922658015057,480486.13396216073,324927.9025612563,438307.31465921446,954951.8395996722,369476.6175230266,628570.941294553,630529.7158267197,236681.45573594316,144711.59124669968,35064.39409610843,221058.10432947762,298676.677634039,302791.46774820104,565713.3971745141,568164.2518806577,126165.30133272301,551718.2380255308,573632.0033000518,617262.5517162426,628808.6523898586,60130.90390268385,417120.32315410307,864214.7822202814,106573.63465463158,128418.69027758406,170873.5075121948,680916.1539763376,231506.30174511802,757603.0715212394,570341.7827736625,316679.88649466494,42115.68538294793,941658.162669432,319416.8151894174,61169.24940723348,271927.6449334383,582310.6599917149,180668.63038318613,477545.062523282,113279.74244039608,25771.675330705228,356556.6193216961,141363.0364611924,674446.5028855049,365477.26423880877,686938.7157358289,283096.95699168026,25560.3855542001,726528.4361928878
1,25713.379577650085,480486.13396216073,318566.95337330666,289652.5814757741,796343.5784250511,369476.6175230266,628570.941294553,630529.7158267197,236681.45573594316,144711.59124669968,35064.39409610843,221058.10432947762,298676.677634039,302791.46774820104,565713.3971745141,568164.2518806577,126165.30133272301,551718.2380255308,555163.9819878234,617262.5517162426,628808.6523898586,60130.90390268385,417120.32315410307,571702.328277537,106573.63465463158,128418.69027758406,170873.5075121948,531587.3838975151,231506.30174511802,565938.8132276459,570341.7827736625,286488.0951146721,42115.68538294793,816761.4879890995,319416.8151894174,61169.24940723348,271927.6449334383,582310.6599917149,162414.10118358143,380818.0881708577,113279.74244039608,25771.675330705228,356556.6193216961,141363.0364611924,582821.2962656365,301820.535231926,686938.7157358289,283096.95699168026,25560.3855542001,527227.9986126277
2,25455.70184702061,480486.13396216073,136863.30109378908,289652.5814757741,670242.5091406679,369476.6175230266,364934.5537790629,630529.7158267197,236681.45573594316,144711.59124669968,35064.39409610843,221058.10432947762,298676.677634039,302791.46774820104,497897.31820639496,568164.2518806577,126165.30133272301,385916.6223355001,260226.4085043372,617262.5517162426,628808.6523898586,60130.90390268385,417120.32315410307,571702.328277537,106573.63465463158,128418.69027758406,170873.5075121948,531587.3838975151,231506.30174511802,565938.8132276459,570341.7827736625,245553.17521910288,42115.68538294793,694172.8593449396,319416.8151894174,61169.24940723348,271927.6449334383,522925.97096833796,162414.10118358143,233473.69582910486,113279.74244039608,25771.675330705228,356556.6193216961,141363.0364611924,473708.49731615436,301820.535231926,446933.26574380836,283096.95699168026,25560.3855542001,527227.9986126277
3,25455.70184702061,391104.9087663684,136863.30109378908,289652.5814757741,438730.1404223236,369476.6175230266,237115.09602028047,630529.7158267197,236681.45573594316,144711.59124669968,35064.39409610843,221058.10432947762,298676.677634039,270625.36395506485,497897.31820639496,568164.2518806577,126165.30133272301,285040.25639944617,206335.39239743343,617262.5517162426,628808.6523898586,60130.90390268385,417120.32315410307,571702.328277537,106573.63465463158,128418.69027758406,170873.5075121948,531587.3838975151,213247.85786055948,565938.8132276459,363279.8340805656,200620.001442915,42115.68538294793,694172.8593449396,319416.8151894174,61169.24940723348,97925.20478323445,522925.97096833796,162414.10118358143,127715.10361124233,113279.74244039608,25771.675330705228,356556.6193216961,141363.0364611924,245352.99562906555,301820.535231926,95676.48838143787,283096.95699168026,25560.3855542001,527227.9986126277
4,25455.70184702061,379448.9054082369,136863.30109378908,289652.5814757741,317861.9619921037,369476.6175230266,190530.15167680033,630529.7158267197,236681.45573594316,144711.59124669968,35064.39409610843,221058.10432947762,298676.677634039,185906.1731380478,497897.31820639496,568164.2518806577,126165.30133272301,239707.83879546323,206335.39239743343,497340.3334594895,510975.64692859084,60130.90390268385,389819.95763293485,571702.328277537,106573.63465463158,128418.69027758406,170873.5075121948,531587.3838975151,213247.85786055948,494884.74890503124,91716.81509151967,200620.001442915,42115.68538294793,694172.8593449396,319416.8151894174,48158.39733803127,97925.20478323445,522925.97096833796,162168.95298636294,61372.65108514769,113279.74244039608,25771.675330705228,356556.6193216961,141363.0364611924,245352.99562906555,301820.535231926,33331.51221279486,283096.95699168026,25560.3855542001,527227.9986126277
5,25455.70184702061,225416.06278194638,136863.30109378908,289652.5814757741,317861.9619921037,369476.6175230266,179064.30730203568,630529.7158267197,236681.45573594316,144711.59124669968,35064.39409610843,221058.10432947762,249364.3655097001,185906.1731380478,497897.31820639496,568164.2518806577,126165.30133272301,181082.9709313052,206335.39239743343,326777.1083673714,361200.97440583515,44584.88108286943,82571.69376218459,571702.328277537,106573.63465463158,128418.69027758406,159333.154845585,397814.09305875434,213247.85786055948,494884.74890503124,91716.81509151967,200620.001442915,42115.68538294793,694172.8593449396,319416.8151894174,41524.276928712425,97925.20478323445,522925.97096833796,88940.08735339956,61372.65108514769,113279.74244039608,25771.675330705228,356556.6193216961,141363.0364611924,245352.99562906555,266276.86269711185,33331.51221279486,51629.10756100656,25560.3855542001,527227.9986126277
6,25455.70184702061,88804.6658192015,136863.30109378908,289652.5814757741,317861.9619921037,297671.6436899029,179064.30730203568,630529.7158267197,98843.07306815221,144711.59124669968,35064.39409610843,221058.10432947762,159881.14038568517,149796.79380326712,497897.31820639496,74836.2729307251,25971.148576515054,181082.9709313052,206335.39239743343,180527.7157382479,285290.88998651813,44584.88108286943,35837.66563032984,479880.13798557495,106573.63465463158,128418.69027758406,67053.46875479759,371377.2216811977,213247.85786055948,494884.74890503124,91716.81509151967,158906.4248272713,42115.68538294793,530732.1794029617,319416.8151894174,41524.276928712425,97925.20478323445,522925.97096833796,48562.37720867206,27127.085736261975,113279.74244039608,25771.675330705228,356556.6193216961,109184.01594694768,243159.82721464915,266276.86269711185,33331.51221279486,25392.069628609726,25560.3855542001,198085.36431312226
7,25455.70184702061,88804.6658192015,68251.94668154292,289652.5814757741,254319.72550535144,278649.75446629897,179064.30730203568,437047.69506273116,38164.42591310448,144711.59124669968,28876.764684832284,221058.10432947762,65776.69981283139,149796.79380326712,338730.235123312,25894.117260089424,25971.148576515054,181082.9709313052,206335.39239743343,67438.61500557314,144419.4378157491,44584.88108286943,35837.66563032984,322372.45218248473,106573.63465463158,83827.65617141471,67053.46875479759,241736.315895206,213247.85786055948,384673.58162079216,91716.81509151967,103393.66396440618,42115.68538294793,415038.8546741496,304305.2933635312,41524.276928712425,97925.20478323445,442161.6022351716,33533.9761950999,25737.462053842188,113279.74244039608,25771.675330705228,356556.6193216961,42864.40829965071,243159.82721464915,266276.86269711185,33331.51221279486,25392.069628609726,25560.3855542001,124170.03989614586
8,25455.70184702061,88804.6658192015,25880.830100001673,274805.39090163383,177060.97105069872,170305.58048002527,179064.30730203568,303493.516372321,36102.276866850356,99053.55391854157,28544.306656036893,221058.10432947762,65776.69981283139,149796.79380326712,243615.22977317485,25663.389255471808,25971.148576515054,108941.45900402723,206335.39239743343,25715.36422556301,102154.28077174639,44584.88108286943,35837.66563032984,117932.0250771336,38320.05891978857,83827.65617141471,67053.46875479759,103083.98994577248,53632.70593033654,244526.69683871802,91716.81509151967,30238.12006363972,25936.961709528565,304393.67677999754,304305.2933635312,41524.276928712425,97925.20478323445,173987.54155442788,33533.9761950999,25737.462053842188,93691.05425959673,25771.675330705228,289743.5351854927,25588.30981329062,196945.7435269181,84223.31643033744,26971.05126293937,25392.069628609726,25560.3855542001,25407.454923105193
9,25426.3212324771,88804.6658192015,25642.318255567458,98875.5939385067,126433.92694314034,104447.86047846673,90929.12284308669,105339.19757061548,36102.276866850356,38600.882294927476,26055.4382713258,75053.37444868864,48985.1126058794,149796.79380326712,130150.72821766682,25663.389255471808,25971.148576515054,49410.0889383483,206335.39239743343,25715.36422556301,102154.28077174639,44584.88108286943,35837.66563032984,25704.717222575942,38320.05891978857,28910.29203324113,67053.46875479759,91113.89757135986,25679.312524915542,186991.09025920354,91716.81509151967,26068.320703074627,25936.961709528565,93064.91789282399,222501.7664316161,41524.276928712425,97925.20478323445,34128.735702392776,33533.9761950999,25737.462053842188,25482.248698757907,25771.675330705228,93390.14521204648,25588.30981329062,119687.4983000556,25679.166146064697,25587.574203326585,25392.069628609726,25463.407241970053,25407.454923105193
